model,qos,SR,UP,OP
MCDLSTM,90,0.6107668474051123,0.0153327810265356,0.025791882933696577
MCDLSTM,91,0.6107668474051123,0.015332778805341769,0.02579188544998074
MCDLSTM,92,0.6107668474051123,0.015332776392316344,0.025791888183581715
MCDLSTM,93,0.6107668474051123,0.015332773739065523,0.02579189118932251
MCDLSTM,94,0.6107668474051123,0.015332770775800093,0.025791894546264058
MCDLSTM,95,0.6107668474051123,0.015332767396180268,0.02579189837487355
MCDLSTM,96,0.6107668474051123,0.015332763425561977,0.02579190287299701
MCDLSTM,97,0.6107668474051123,0.015332758544191496,0.02579190840286796
MCDLSTM,98,0.6107668474051123,0.015332752055259918,0.025791915753867897
MCDLSTM,99,0.6107668474051123,0.015332741827900544,0.025791927339953724
HBNN,90,0.942292796281952,0.002517941955735101,0.11443722595796525
HBNN,91,0.9457784663051898,0.0023140996852290263,0.11780841448351939
HBNN,92,0.9504260263361735,0.0021108921232761077,0.12148899229026319
HBNN,93,0.9581719597211464,0.0019127214609198973,0.12556125178062585
HBNN,94,0.9632068164213787,0.0017280627894582607,0.13014599456721054
HBNN,95,0.9686289697908598,0.0015452900905569395,0.13540274931264337
HBNN,96,0.9728892331525949,0.0013561960750823401,0.14160439995197024
HBNN,97,0.9763749031758326,0.0011621637548133235,0.14926697579644074
HBNN,98,0.9802478698683191,0.0009442443067630491,0.15949304809544704
HBNN,99,0.9848954298993029,0.0006743114793181819,0.17568413891554155
HBNN++,90,0.929124709527498,0.005173499972463457,0.14871535381369805
HBNN++,91,0.9310611928737413,0.0048141619260818,0.15309652269609839
HBNN++,92,0.9368706429124709,0.004448092581255815,0.15788037023324678
HBNN++,93,0.942292796281952,0.004081947980460529,0.16317683523854348
HBNN++,94,0.9469403563129357,0.0037003551399126373,0.1691194902010989
HBNN++,95,0.9523625096824168,0.0033122718476424735,0.17594424478636106
HBNN++,96,0.9577846630518978,0.0029011211021060337,0.1840072502213953
HBNN++,97,0.9655305964368707,0.002479602287581658,0.1940036292002876
HBNN++,98,0.9728892331525949,0.0020412606408804074,0.20741406762441164
HBNN++,99,0.9767621998450813,0.0014664723755089474,0.22866667081591907
LSTMQ,90,0.8528272656855151,0.005662504548296068,0.0497535120699491
LSTMQ,91,0.9058869093725794,0.0036527752513766574,0.06450218364372941
LSTMQ,92,0.9132455460883037,0.0033904828967397764,0.06893818846727008
LSTMQ,93,0.912858249419055,0.0033962385324683687,0.06895068088170969
LSTMQ,94,0.9264136328427576,0.0027867136534699597,0.07401832961005099
LSTMQ,95,0.9488768396591789,0.0018434696403200038,0.0895091076689319
LSTMQ,96,0.9639814097598761,0.0012543449526657968,0.1045997808399066
LSTMQ,97,0.9465530596436871,0.002268246805762327,0.10103974775940826
LSTMQ,98,0.981409759876065,0.0007411593259903869,0.14682495613846672
LSTMQ,99,0.9914794732765299,0.00022339980419042345,0.21335756834847172
LSTM,90,0.8427575522850503,0.005916012647241933,0.05477750310864673
LSTM,91,0.8446940356312935,0.005803878709739121,0.05538344943787789
LSTM,92,0.8481797056545314,0.005683378610438372,0.05604304601258747
LSTM,93,0.8532145623547638,0.0055558275361957425,0.05677325303836244
LSTM,94,0.8570875290472502,0.0054171911133816305,0.05759259803347892
LSTM,95,0.8613477924089853,0.005263872070256877,0.05853186183535764
LSTM,96,0.867157242447715,0.0050888599559974195,0.059640493943521694
LSTM,97,0.8706429124709527,0.004882462238175194,0.061012173620942585
LSTM,98,0.8807126258714175,0.0046217002285888304,0.0628491905697247
LSTM,99,0.8896204492641363,0.004239150114858662,0.06577299973674972
PROPHET,90,0.9512006196746708,0.003842889901832676,0.2931920511637521
PROPHET,91,0.9539116963594113,0.0035550261274391684,0.29908550324500255
PROPHET,92,0.9573973663826492,0.0032636337822078607,0.3055092709778034
PROPHET,93,0.9604957397366383,0.0029719925299654224,0.31260130811023645
PROPHET,94,0.9620449264136328,0.0026618918837975993,0.3205376194633842
PROPHET,95,0.9659178931061193,0.0023385766288079018,0.3296193804600248
PROPHET,96,0.9709527498063517,0.001998714368864816,0.3403292723190187
PROPHET,97,0.9763749031758326,0.0016471231665997229,0.3535619491666413
PROPHET,98,0.9806351665375678,0.0012706541491042252,0.3712433978189563
PROPHET,99,0.9887683965917893,0.0008618612718847747,0.3992961182201101
